GMM_Cluster_Merged	Samples	Share(%)
0	12308	6.769518466573166
1	434	0.23870417732310317
2	51	0.028050490883590466
3	69419	38.181118169567966
4	94997	52.24926436212633
5	3278	1.8029315513021476
6	716	0.39380689162060334
7	431	0.23705414844759784
8	181	0.09955174215548772
