FID	IID	SampleType	Assigned_Merged_Cluster	Assignment_Confidence	PC1	PC2	Prob_Merge_Cluster_0	Prob_Merge_Cluster_1	Prob_Merge_Cluster_2	Prob_Merge_Cluster_3	Prob_Merge_Cluster_4
NAG12244	NAG12244	Control	0	0.9999982565268528	-0.0076477	-0.011687	0.9999982565268528	1.5358471873373223e-27	2.6953264600303243e-16	1.6924608237679528e-08	1.7265485414535365e-06
NAG12245	NAG12245	Control	0	0.9999977424179542	-0.0100687	-0.00887831	0.9999977424179542	2.0491041772851054e-29	3.281790735579532e-14	3.709443770364748e-09	2.2538725664483696e-06
NAG12248	NAG12248	Control	0	0.999997763735882	-0.0103477	-0.00990515	0.999997763735882	1.416791161492755e-29	6.97542372275863e-14	3.3817130206684654e-09	2.23288233731871e-06
NAG12259	NAG12259	Control	0	0.9999970921096211	-0.011703	-0.00879993	0.9999970921096211	1.1422995807277235e-30	9.163590730003545e-13	1.5079776301704767e-09	2.906381486758944e-06
NAG12260	NAG12260	Control	0	0.9999976010751702	-0.0056421	-0.00221361	0.9999976010751702	2.127104119846228e-26	1.0227303692195223e-18	3.8761464974931866e-08	2.360163366169265e-06
NAG12226	NAG12226	Control	0	0.9999946945939056	-0.0158338	-0.00938588	0.9999946945939056	8.488017569167039e-34	2.0919761574925847e-09	1.4884316536037774e-10	5.303165277256836e-06
NAG12273	NAG12273	Control	0	0.9999906016705333	-0.0173834	-0.00763518	0.9999906016705333	5.364775559247049e-35	2.5880990741065336e-08	6.892750282380106e-11	9.372379544711338e-06
NAG12283	NAG12283	Control	3	0.9985299318824085	0.0258004	-0.0116517	0.0010642496295385825	2.0522369489177733e-05	7.462460479673143e-62	0.9985299318824085	0.00038529611856668406
NAG12299	NAG12299	Control	0	0.9999963981068085	-0.0130436	-0.00801803	0.9999963981068085	1.0099805318591412e-31	1.060853021822572e-11	7.042139333447102e-10	3.6011783658919965e-06
NAG12307	NAG12307	Control	0	0.9999974978491402	-0.00922858	-0.00276618	0.9999974978491402	4.4956767358460814e-29	2.6344950438353193e-15	5.239073296736739e-09	2.4969117824570653e-06
NAG12317	NAG12317	Control	0	0.999997346530206	-0.00425208	0.00291653	0.999997346530206	1.7471988433828337e-25	2.281125763003863e-20	7.215038699434835e-08	2.5813194074931125e-06
NAG12319	NAG12319	Control	0	0.9999979776981214	-0.00907859	-0.0110217	0.9999979776981214	1.3804657437345185e-28	5.591884240591785e-15	7.3538352021228495e-09	2.0149480346818437e-06
NAG12330	NAG12330	Control	0	0.99999729428036	-0.00395909	0.00263944	0.99999729428036	2.8126583683603563e-25	1.1950682470816442e-20	8.907130582368832e-08	2.6166483370323274e-06
NAG12331	NAG12331	Control	0	0.9999978806702121	-0.00691648	-0.00581667	0.9999978806702121	3.771244033882009e-27	2.716605544382618e-17	2.1077548194372806e-08	2.0982522385721763e-06
NAG12334	NAG12334	Control	0	0.9999956022148767	-0.0151852	-0.00896688	0.9999956022148767	2.385041985826521e-33	6.202621725976131e-10	2.1439028039071902e-10	4.396950471723995e-06
NAG12336	NAG12336	Control	0	0.9999958769946098	-0.0149559	-0.0100503	0.9999958769946098	3.2525533328033225e-33	4.3846627155436777e-10	2.3729175559359517e-10	4.122329632634842e-06
NAG12281	NAG12281	Control	0	0.9999976098780801	-0.0112053	-0.010404	0.9999976098780801	3.278333164790388e-30	3.9229690000159987e-13	2.0921921676640547e-09	2.3880293389334766e-06
NAG12092	NAG12092	Control	0	0.9999975067609856	-0.0102377	-0.0071894	0.9999975067609856	1.444653170999084e-29	3.7634071245746194e-14	3.275722613435375e-09	2.489963252303483e-06
NAG12224	NAG12224	Control	0	0.9999871824815711	-0.0192281	-0.0104393	0.9999871824815711	2.2307190683692206e-36	7.17702600773448e-07	2.4558622818186057e-11	1.2099791269941056e-05
NAG12217	NAG12217	Control	0	0.9999962360436384	-0.012965	-0.00648107	0.9999962360436384	1.0885756238911494e-31	8.075013317655899e-12	7.347844438672029e-10	3.763213502384875e-06
NAG12106	NAG12106	Control	0	0.999994808039279	-0.0161353	-0.0103118	0.999994808039279	4.97014724255898e-34	3.967019020201036e-09	1.2383967405511413e-10	5.187869865013442e-06
NAG12128	NAG12128	Control	0	0.9997676395595625	0.00590727	-0.00221792	0.9997676395595625	3.423137547740884e-17	6.980246162502622e-31	0.0001892017783593536	4.3158662075729895e-05
NAG12130	NAG12130	Control	0	0.9999931375628487	-0.016723	-0.00741793	0.9999931375628487	1.6715194893516325e-34	8.253328597136046e-09	9.734590722458784e-11	6.854086474787759e-06
NAG12131	NAG12131	Control	0	0.9999973835727478	-0.00400314	-0.00107165	0.9999973835727478	3.9484730553653264e-25	1.98908873279719e-20	9.939470575189941e-08	2.5170325500531703e-06
NAG12137	NAG12137	Control	0	0.9998688927504656	0.00500536	-0.00446578	0.9998688927504656	8.11473866751521e-18	9.444892038334645e-30	0.00010278725583391933	2.831999370381314e-05
NAG12141	NAG12141	Control	0	0.9999981193725428	-0.00763025	-0.0101127	0.9999981193725428	1.4684159718584855e-27	2.219011366709352e-16	1.6226372090336215e-08	1.8644010838172147e-06
NAG12142	NAG12142	Control	0	0.9999951820541657	-0.0146429	-0.00748794	0.9999951820541657	5.952155740138803e-33	2.0422325077788799e-10	2.941533486117876e-10	4.8174474553800295e-06
NAG12147	NAG12147	Control	0	0.9999957219042938	-0.0155546	-0.0112354	0.9999957219042938	1.303140502854412e-33	1.5555297657872547e-09	1.729819733438573e-10	4.276367197684011e-06
NAG12157	NAG12157	Control	0	0.9999979748583719	-0.0100169	-0.0108133	0.9999979748583719	2.718586620147557e-29	3.69476383927381e-14	4.022355179795855e-09	2.021119233834732e-06
NAG12222	NAG12222	Control	0	0.999997957904941	-0.012466	-0.0167895	0.999997957904941	3.9798481101797225e-31	1.1014673073057962e-11	1.1018139375872142e-09	2.04098223211862e-06
NAG12159	NAG12159	Control	0	0.9999979371476119	-0.00981725	-0.00945358	0.9999979371476119	3.2464246088761244e-29	2.060366187889381e-14	4.3424303506479496e-09	2.058509935128548e-06
NAG12161	NAG12161	Control	0	0.9999976129299695	-0.0100523	-0.00816704	0.9999976129299695	1.8457447051775108e-29	3.080154008378825e-14	3.980339015895306e-09	2.3830896617924342e-06
NAG12163	NAG12163	Control	0	0.9999978973167958	-0.00627989	-0.00783164	0.9999978973167958	1.2730076375345404e-26	9.098034318101004e-18	3.4001695978433566e-08	2.0686815081839536e-06
NAG12165	NAG12165	Control	0	0.999997988736112	-0.00739339	-0.0101604	0.999997988736112	2.323589221105438e-27	1.4916843870105784e-16	1.9775133482665575e-08	1.991488757725269e-06
NAG12172	NAG12172	Control	0	0.9999971786188585	-0.0119071	-0.00931302	0.9999971786188585	7.927757851176074e-31	1.3685400235038798e-12	1.36497719957013e-09	2.8200147932808192e-06
NAG12179	NAG12179	Control	0	0.9999966240323265	-0.0138442	-0.0103057	0.9999966240323265	2.9002687679706156e-32	6.25772994416252e-11	4.6187451351088416e-10	3.3754432229932797e-06
NAG12195	NAG12195	Control	0	0.9999919968977916	-0.0186387	-0.0112065	0.9999919968977916	5.661905925768224e-36	2.6275213826558175e-07	3.2170834007638115e-11	7.740317901339917e-06
NAG12196	NAG12196	Control	0	0.9999946514976871	-0.0159214	-0.00860255	0.9999946514976871	6.8474679586689785e-34	2.1364404068991427e-09	1.411239275486606e-10	5.346224747911102e-06
NAG12198	NAG12198	Control	0	0.9999967273168815	-0.0124395	-0.0065388	0.9999967273168815	3.1982947655758814e-31	2.828583648073894e-12	9.314097434705275e-10	3.2717488825439536e-06
NAG12200	NAG12200	Control	0	0.9999960646978375	-0.0151399	-0.0116566	0.9999960646978375	2.6724133915569997e-33	7.594030004295976e-10	2.1318647310575102e-10	3.934329573394285e-06
NAG12160	NAG12160	Control	0	0.9999968802925425	-0.0118356	-0.00673689	0.9999968802925425	7.920844001599687e-31	9.002003769532785e-13	1.3076193340673877e-09	3.1183989374388752e-06
NAG11694	NAG11694	Control	0	0.9999977114947481	-0.0111631	-0.00930458	0.9999977114947481	3.0564368578103115e-30	3.2342541064718217e-13	2.0254969313129e-09	2.2864794297901456e-06
NAG11682	NAG11682	Control	0	0.9999981918330868	-0.0102517	-0.014527	0.9999981918330868	1.9030822820138924e-29	9.706407790632572e-14	3.891557796991995e-09	1.8042752609201796e-06
NAG11679	NAG11679	Control	0	0.9999970449596708	-0.00370994	0.00529027	0.9999970449596708	2.9503955103539607e-25	5.268956276667224e-21	9.105121942127004e-08	2.863989106335163e-06
NAG11236	NAG11236	Control	0	0.9999962312690551	-0.0129492	-0.00584217	0.9999962312690551	1.1281270013933083e-31	6.839879234018364e-12	7.235000305655385e-10	3.768000601481731e-06
NAG11243	NAG11243	Control	0	0.9999972216919942	-0.0130816	-0.012209	0.9999972216919942	1.037174769473812e-31	1.7980064785396757e-11	7.155819408180396e-10	2.777574440486777e-06
NAG11248	NAG11248	Control	0	0.9999978886370416	-0.00883064	-0.00746413	0.9999978886370416	1.4438771805530803e-28	2.054153562824995e-15	7.340738484095877e-09	2.1040222164103136e-06
NAG11262	NAG11262	Control	0	0.9999965502070475	-0.0127262	-0.00740175	0.9999965502070475	1.6223443037901997e-31	5.5270698187648645e-12	8.349710555975761e-10	3.4489524555864855e-06
NAG11263	NAG11263	Control	0	0.9999952222533782	-0.0146914	-0.00801064	0.9999952222533782	5.74797344752399e-33	2.3423827475088983e-10	2.808957097205563e-10	4.7772314888437385e-06
NAG11266	NAG11266	Control	0	0.9999952859699254	-0.0145668	-0.0072106	0.9999952859699254	7.66548036815856e-33	1.7802827021322072e-10	3.146897413518468e-10	4.7135373586390246e-06
NAG11267	NAG11267	Control	0	0.997454210079311	-0.0243135	-0.01945	0.997454210079311	4.195037286796384e-40	0.0025255146079790204	9.41446068869888e-13	2.027531176789311e-05
NAG11277	NAG11277	Control	0	0.9999979255581734	-0.00829803	-0.00799105	0.9999979255581734	3.8306631566215423e-28	7.404712773924921e-16	1.0151929779229951e-08	2.064289897346955e-06
NAG11283	NAG11283	Control	0	0.999994795425163	-0.0141085	-0.00432669	0.999994795425163	1.4985136427278316e-32	5.664094140949891e-11	4.026435928764114e-10	5.204115553566275e-06
NAG11231	NAG11231	Control	0	0.9999934217924936	-0.0158156	-0.00531851	0.9999934217924936	7.4960360344237985e-34	1.3376833387567797e-09	1.703315012854396e-10	6.576699489073642e-06
NAG11296	NAG11296	Control	0	0.9999978355908847	-0.00948778	-0.00869311	0.9999978355908847	5.291495869140152e-29	9.84359194457859e-15	5.1744120715195565e-09	2.1592346953961647e-06
NAG11310	NAG11310	Control	0	0.9999974872104097	-0.0100429	-0.00644461	0.9999974872104097	1.5665171354599878e-29	2.296939545816326e-14	3.584565740185044e-09	2.5092049979742648e-06
NAG11315	NAG11315	Control	0	0.9999956163222309	-0.0152759	-0.00915286	0.9999956163222309	1.8715765225165566e-33	7.94370023021014e-10	2.0453641221016712e-10	4.382678861815707e-06
NAG11318	NAG11318	Control	0	0.999997220158175	-0.0126971	-0.00896476	0.999997220158175	2.0838221312084623e-31	6.110050568702188e-12	8.705104500589835e-10	2.7789652013402462e-06
NAG11319	NAG11319	Control	0	0.9999961253693458	-0.00182078	0.000767665	0.9999961253693458	1.54768403339103e-23	1.0232446748048956e-22	3.8409166641126277e-07	3.4905389852199e-06
NAG11322	NAG11322	Control	0	0.9999960779686995	-0.0142325	-0.00822239	0.9999960779686995	1.4039581902712796e-32	9.792676623902944e-11	3.696865418626471e-10	3.921563685274168e-06
NAG11326	NAG11326	Control	0	0.9999965320482301	-0.0130156	-0.00687786	0.9999965320482301	9.442333583000379e-32	9.024988915099645e-12	7.324495137528913e-10	3.4672102948466665e-06
NAG11336	NAG11336	Control	0	0.9999978838931659	-0.0113709	-0.0126629	0.9999978838931659	2.8771378411561097e-30	7.205521535891359e-13	1.9513850342006124e-09	2.1141547266081183e-06
NAG11339	NAG11339	Control	0	0.9999973891898667	-0.0121422	-0.0104353	0.9999973891898667	5.317811285731105e-31	2.3512234228284353e-12	1.1521718088191562e-09	2.609655606779955e-06
NAG11299	NAG11299	Control	0	0.9999980905036733	-0.0100294	-0.0145885	0.9999980905036733	3.1362133203516963e-29	6.899117007442324e-14	4.5787195153311466e-09	1.9049175347257288e-06
NAG11341	NAG11341	Control	0	0.9999962976377876	-0.0132737	-0.00706294	0.9999962976377876	7.224589452158239e-32	1.4564093140495464e-11	6.09285397579744e-10	3.7017383615810644e-06
NAG11207	NAG11207	Control	0	0.9999970115540587	-0.0120871	-0.00940103	0.9999970115540587	4.960877100003795e-31	2.0605631197090422e-12	1.2093528154620228e-09	2.9872345243850055e-06
NAG11202	NAG11202	Control	0	0.9999973395853102	-0.0118863	-0.00994217	0.9999973395853102	8.679006752896045e-31	1.3795618367872751e-12	1.3517506798396692e-09	2.659061556110121e-06
NAG11026	NAG11026	Control	0	0.9999967133836047	-0.0126858	-0.00793517	0.9999967133836047	1.7019318406737263e-31	5.409885942048353e-12	8.416428128177839e-10	3.2857693458092667e-06
NAG11029	NAG11029	Control	0	0.9999974353974281	-0.0112469	-0.00837502	0.9999974353974281	2.39394500107941e-30	3.3041953385372577e-13	1.9465859594219817e-09	2.562655652601248e-06
NAG11035	NAG11035	Control	0	0.9999964223409434	-0.0019431	-0.00846584	0.9999964223409434	2.9095540197905724e-23	4.627828244837443e-22	5.933372012442413e-07	2.984321857151206e-06
NAG11065	NAG11065	Control	0	0.9999948761585511	-0.000752974	-0.00724885	0.9999948761585511	2.5477371720554235e-22	2.2497446581264493e-23	1.3026513118622903e-06	3.8211901339932855e-06
NAG11072	NAG11072	Control	0	0.9999979447038205	-0.00831943	-0.00977791	0.9999979447038205	4.740911502961367e-28	9.473783158423525e-16	1.1050023609857131e-08	2.0442461521379685e-06
NAG11075	NAG11075	Control	0	0.9999968913586632	-0.0135283	-0.00995153	0.9999968913586632	4.550304392410132e-32	3.277523602247596e-11	5.458152326335977e-10	3.1080627491211988e-06
NAG11077	NAG11077	Control	0	0.9999958282528514	-0.0150799	-0.010619	0.9999958282528514	2.7338712387175677e-33	6.113281291701555e-10	2.2992503030827635e-10	4.17090589814786e-06
NAG11096	NAG11096	Control	0	0.9999977791285002	-0.00553159	-0.00347048	0.9999977791285002	2.934618360794022e-26	8.86946625210626e-19	4.2882546640353535e-08	2.177988953446673e-06
NAG11204	NAG11204	Control	0	0.9999974273354785	-0.0107981	-0.00763016	0.9999974273354785	5.427947834583107e-30	1.2420920470012016e-13	2.444637769160711e-09	2.5702197569631714e-06
NAG11116	NAG11116	Control	0	0.999995955154423	-0.00189752	0.000489399	0.999995955154423	1.342616140589043e-23	1.3151469821942019e-22	3.8295603962019897e-07	3.6618895373437388e-06
NAG11131	NAG11131	Control	0	0.9999960448466757	-0.00200425	0.00614627	0.9999960448466757	5.6541004057802784e-24	9.161122469310152e-23	2.6323267585690143e-07	3.6919206471979916e-06
NAG11137	NAG11137	Control	0	0.999993867669092	-0.0152005	-0.00443258	0.999993867669092	1.7718000278685977e-33	4.1533960013926176e-10	2.3115492412562433e-10	6.131684412291334e-06
NAG11148	NAG11148	Control	0	0.9999977955408482	-0.00945595	-0.00798753	0.9999977955408482	4.720362689016537e-29	8.227388764465221e-15	5.341704603100575e-09	2.199117437916881e-06
NAG11153	NAG11153	Control	0	0.9999977533136722	-0.00910711	-0.00593785	0.9999977533136722	8.142868605489896e-29	3.0038489186485155e-15	5.89294429250277e-09	2.2407933823488163e-06
NAG11158	NAG11158	Control	0	0.9999975482301474	-0.00804142	-0.00379899	0.9999975482301474	4.934715976070134e-28	2.5631991272034217e-16	1.0319017201526026e-08	2.441450837798666e-06
NAG11177	NAG11177	Control	0	0.9999980472956337	-0.0093885	-0.00916185	0.9999980472956337	5.390438002078645e-29	8.117773524351236e-15	5.6837956939989776e-09	1.9470205659637063e-06
NAG11182	NAG11182	Control	0	0.9999965957932111	-0.0142709	-0.0101009	0.9999965957932111	1.291458564917884e-32	1.3587082701837777e-10	3.5399253179030183e-10	3.403716928596107e-06
NAG11192	NAG11192	Control	0	0.9999981510587518	-0.00865151	-0.0116476	0.9999981510587518	2.3996750978254255e-28	2.5103434892885676e-15	9.536082983244805e-09	1.8394051628366991e-06
NAG11201	NAG11201	Control	0	0.9999968039433529	-0.00307405	0.00706651	0.9999968039433529	8.084640191086087e-25	9.323195445312733e-22	1.2636033494459393e-07	3.0696963086314776e-06
NAG11125	NAG11125	Control	0	0.9999978427068527	-0.00769866	-0.00562045	0.9999978427068527	1.0701137385750223e-27	1.4703349582036336e-16	1.3185106975369597e-08	2.1441080434268864e-06
NAG11347	NAG11347	Control	0	0.9999967547599184	-0.0117793	-0.00527097	0.9999967547599184	7.662021362531113e-31	7.258602835434114e-13	1.4065192564825638e-09	3.243832836181351e-06
NAG11357	NAG11357	Control	0	0.9999960838381933	-0.0151823	-0.0120031	0.9999960838381933	3.096874760961149e-33	8.754169396303123e-10	2.0981202430850484e-10	3.915076575774845e-06
NAG11358	NAG11358	Control	0	0.9999824758770084	-0.0202017	-0.0122769	0.9999824758770084	3.7048679833253e-37	3.955715498920331e-06	1.3192162986446962e-11	1.3568394301863063e-05
NAG11577	NAG11577	Control	0	0.9999284896685899	0.00386864	-0.00995962	0.9999284896685899	1.6316626637227855e-18	3.526973952640214e-28	5.737308510896422e-05	1.4137246301968077e-05
