threshold	case_total	control_total	case_kept	control_kept	case_removed	control_removed	case_keep_rate	control_keep_rate	case_removed_rate	control_removed_rate
0.357533038958	408	1730	407	1721	1	9	0.9975490196078431	0.9947976878612717	0.0024509803921568627	0.005202312138728324
0.8	408	1730	320	962	88	768	0.7843137254901961	0.5560693641618497	0.21568627450980393	0.4439306358381503
0.85	408	1730	301	809	107	921	0.7377450980392157	0.4676300578034682	0.2622549019607843	0.5323699421965318
0.9	408	1730	272	650	136	1080	0.6666666666666666	0.37572254335260113	0.3333333333333333	0.6242774566473989
0.95	408	1730	199	428	209	1302	0.4877450980392157	0.24739884393063583	0.5122549019607843	0.7526011560693642
0.99	408	1730	53	102	355	1628	0.12990196078431374	0.058959537572254334	0.8700980392156863	0.9410404624277456
