GMM_Cluster_Merged	Samples	Share(%)
0	717	0.3943525632916614
1	415	0.22825148363464365
2	182	0.10010065065422925
3	37264	20.49533321966593
4	68629	37.74619535026978
5	2913	1.602160414042691
6	10481	5.7645874698185535
7	16131	8.872107668699847
8	32293	17.761265448225412
9	7746	4.260327692129999
10	4562	2.5091163092560103
11	434	0.23870155156008513
12	50	0.027500178751161883
