GMM_Cluster_Merged	Samples	Share(%)
0	10946	6.072003106451434
1	444	0.24629722083541356
2	167550	92.9439174571476
3	68	0.037721195983802074
4	394	0.218561047317912
5	687	0.38109502413047097
6	181	0.10040494813335551
