Sample_ID	Original_Cluster	Rank
PHOM0496	Cluster 27	1
PHOM0501	Cluster 27	1
PHOM0530	Cluster 27	1
PHOM0538	Cluster 27	1
PHOM0544	Cluster 27	1
PHOM0557	Cluster 27	1
PHOM0586	Cluster 27	1
PHOM0594	Cluster 27	1
PHOM0619	Cluster 27	1
PHOM0624	Cluster 27	1
PHOM0632	Cluster 27	1
PHOM0639	Cluster 27	1
PHOM0643	Cluster 27	1
PHYM0001	Cluster 27	1
1000066042	Cluster 14	2
1999935241	Cluster 14	2
2000065638	Cluster 14	2
2999936417	Cluster 14	2
3999936619	Cluster 14	2
4000066764	Cluster 14	2
4999934013	Cluster 14	2
4999934593	Cluster 14	2
4999934613	Cluster 14	2
5000065150	Cluster 14	2
5000065258	Cluster 14	2
6000065434	Cluster 14	2
8000064706	Cluster 14	2
AYUM0219	Cluster 14	2
AYUM0235	Cluster 14	2
AYUM0400	Cluster 14	2
AYUM0450	Cluster 14	2
AYUM0615	Cluster 14	2
AYUM1010	Cluster 14	2
AYUM1014	Cluster 14	2
AYUM5020	Cluster 14	2
AYUM5043	Cluster 14	2
AYUM5131	Cluster 14	2
AYUM5150	Cluster 14	2
AYUM5151	Cluster 14	2
C_AC0218	Cluster 14	2
C_AC0224	Cluster 14	2
C_AC0271	Cluster 14	2
C_AC0286	Cluster 14	2
C_AC0332	Cluster 14	2
C_AC0340	Cluster 14	2
C_AC0433	Cluster 14	2
C_AC0497	Cluster 14	2
C_AC0507	Cluster 14	2
C_AC0538	Cluster 14	2
C_AC0572	Cluster 14	2
C_AC0649	Cluster 14	2
C_AC0685	Cluster 14	2
C_AC0736	Cluster 14	2
C_AC0744	Cluster 14	2
C_AC0787	Cluster 14	2
C_AC0839	Cluster 14	2
C_AC0847	Cluster 14	2
C_AC0853	Cluster 14	2
C_AC0876	Cluster 14	2
C_AC0932	Cluster 14	2
C_AC1587	Cluster 14	2
C_AC1675	Cluster 14	2
HVUM0056	Cluster 14	2
HVUM0099	Cluster 14	2
HVUM0202	Cluster 14	2
HVUM0283	Cluster 14	2
HVUM0290	Cluster 14	2
HVUM0296	Cluster 14	2
HVUM0322	Cluster 14	2
HVUM0462	Cluster 14	2
HVUM0486	Cluster 14	2
HVUM0540	Cluster 14	2
HVUM0585	Cluster 14	2
HVUM0701	Cluster 14	2
HVUM0733	Cluster 14	2
HVUM0750	Cluster 14	2
HVUM1007	Cluster 14	2
HVUM1085	Cluster 14	2
LCAC0188	Cluster 14	2
LCAC0254	Cluster 14	2
LCAC0343	Cluster 14	2
LCAC0420	Cluster 14	2
LCAC0453	Cluster 14	2
LCAC0775	Cluster 14	2
NAG10138	Cluster 14	2
NAG11096	Cluster 14	2
NAG11373	Cluster 14	2
NAG11582	Cluster 14	2
NAG11651	Cluster 14	2
NAG11671	Cluster 14	2
NAG11744	Cluster 14	2
NAG12038	Cluster 14	2
NAG12260	Cluster 14	2
NAG12796	Cluster 14	2
NAG13380	Cluster 14	2
NAG13433	Cluster 14	2
NAG13563	Cluster 14	2
NAG13737	Cluster 14	2
NAG13994	Cluster 14	2
NAG14302	Cluster 14	2
NAG14331	Cluster 14	2
NAG14583	Cluster 14	2
NAG14708	Cluster 14	2
NAG14822	Cluster 14	2
NAG15064	Cluster 14	2
NAG15095	Cluster 14	2
NAG15193	Cluster 14	2
NAG15665	Cluster 14	2
NAG16754	Cluster 14	2
NAG17042	Cluster 14	2
NAG17570	Cluster 14	2
NAG17695	Cluster 14	2
NAG18241	Cluster 14	2
NAG18271	Cluster 14	2
NAG18901	Cluster 14	2
NAG19067	Cluster 14	2
NAG19135	Cluster 14	2
NAG19248	Cluster 14	2
NAG19350	Cluster 14	2
NAG19506	Cluster 14	2
NAG19549	Cluster 14	2
NAG19729	Cluster 14	2
NAG19943	Cluster 14	2
PHOK0001	Cluster 14	2
PHOK0035	Cluster 14	2
PHOK0039	Cluster 14	2
PHOK0059	Cluster 14	2
PHOK0357	Cluster 14	2
PHOK0359	Cluster 14	2
PHOK0375	Cluster 14	2
PHOM0020	Cluster 14	2
PHOM0026	Cluster 14	2
PHOM0035	Cluster 14	2
PHOM0051	Cluster 14	2
PHOM0082	Cluster 14	2
PHOM0091	Cluster 14	2
PHOM0111	Cluster 14	2
PHOM0136	Cluster 14	2
PHOM0145	Cluster 14	2
PHOM0165	Cluster 14	2
PHOM0167	Cluster 14	2
PHOM0173	Cluster 14	2
PHOM0183	Cluster 14	2
PHOM0207	Cluster 14	2
PHOM0209	Cluster 14	2
PHOM0210	Cluster 14	2
PHOM0212	Cluster 14	2
PHOM0214	Cluster 14	2
PHOM0263	Cluster 14	2
PHOM0270	Cluster 14	2
PHOM0271	Cluster 14	2
PHOM0285	Cluster 14	2
PHOM0294	Cluster 14	2
PHOM0342	Cluster 14	2
PHOM0363	Cluster 14	2
PHOM0370	Cluster 14	2
PHOM0390	Cluster 14	2
PHOM0392	Cluster 14	2
PHOM0417	Cluster 14	2
PHOM0421	Cluster 14	2
PHOM0422	Cluster 14	2
PHOM0433	Cluster 14	2
PHOM0441	Cluster 14	2
PHOM0450	Cluster 14	2
PHOM0453	Cluster 14	2
PHOM0474	Cluster 14	2
PHOM0491	Cluster 14	2
PHOM0508	Cluster 14	2
PHOM0509	Cluster 14	2
PHOM0514	Cluster 14	2
PHOM0523	Cluster 14	2
PHOM0533	Cluster 14	2
PHOM0545	Cluster 14	2
PHOM0579	Cluster 14	2
PHOM0590	Cluster 14	2
PHOM0617	Cluster 14	2
PHOM0655	Cluster 14	2
2999935489	Cluster 3	3
5000063446	Cluster 3	3
6000064960	Cluster 3	3
6000066332	Cluster 3	3
6999935233	Cluster 3	3
6999935877	Cluster 3	3
9000064170	Cluster 3	3
AYUM0250	Cluster 3	3
AYUM0281	Cluster 3	3
AYUM0460	Cluster 3	3
AYUM0626	Cluster 3	3
AYUM5037	Cluster 3	3
C_AC0006	Cluster 3	3
C_AC0097	Cluster 3	3
C_AC0141	Cluster 3	3
C_AC0214	Cluster 3	3
C_AC0256	Cluster 3	3
C_AC0384	Cluster 3	3
C_AC0434	Cluster 3	3
C_AC0484	Cluster 3	3
C_AC0495	Cluster 3	3
C_AC0504	Cluster 3	3
C_AC0562	Cluster 3	3
C_AC0651	Cluster 3	3
C_AC0686	Cluster 3	3
C_AC0909	Cluster 3	3
C_AC0922	Cluster 3	3
C_AC1498	Cluster 3	3
C_AC1521	Cluster 3	3
C_AC1549	Cluster 3	3
C_AC1614	Cluster 3	3
C_AC1657	Cluster 3	3
C_AC1682	Cluster 3	3
HVUM0010	Cluster 3	3
HVUM0020	Cluster 3	3
HVUM0295	Cluster 3	3
HVUM0314	Cluster 3	3
HVUM0375	Cluster 3	3
HVUM0687	Cluster 3	3
HVUM0734	Cluster 3	3
HVUM1081	Cluster 3	3
LCAC0062	Cluster 3	3
LCAC0093	Cluster 3	3
LCAC0096	Cluster 3	3
LCAC0139	Cluster 3	3
LCAC0158	Cluster 3	3
LCAC0183	Cluster 3	3
LCAC0197	Cluster 3	3
LCAC0276	Cluster 3	3
LCAC0306	Cluster 3	3
LCAC0314	Cluster 3	3
LCAC0410	Cluster 3	3
LCAC0459	Cluster 3	3
LCAC0498	Cluster 3	3
LCAC0526	Cluster 3	3
LCAC0553	Cluster 3	3
LCAC0612	Cluster 3	3
LCAC0650	Cluster 3	3
LCAC0674	Cluster 3	3
LCAC0771	Cluster 3	3
LCAC0809	Cluster 3	3
LCAC0820	Cluster 3	3
LCAC0848	Cluster 3	3
LCAC0895	Cluster 3	3
LCAC0903	Cluster 3	3
NAG10028	Cluster 3	3
NAG10110	Cluster 3	3
NAG10200	Cluster 3	3
NAG10968	Cluster 3	3
NAG11116	Cluster 3	3
NAG11319	Cluster 3	3
NAG12131	Cluster 3	3
NAG12763	Cluster 3	3
NAG13333	Cluster 3	3
NAG14826	Cluster 3	3
NAG14841	Cluster 3	3
NAG15140	Cluster 3	3
NAG15251	Cluster 3	3
NAG15506	Cluster 3	3
NAG16134	Cluster 3	3
NAG16222	Cluster 3	3
NAG16385	Cluster 3	3
NAG16581	Cluster 3	3
NAG17019	Cluster 3	3
NAG17318	Cluster 3	3
NAG18502	Cluster 3	3
NAG18648	Cluster 3	3
NAG19775	Cluster 3	3
PHOK0129	Cluster 3	3
PHOK0176	Cluster 3	3
PHOK0197	Cluster 3	3
PHOK0200	Cluster 3	3
PHOK0321	Cluster 3	3
PHOK0381	Cluster 3	3
PHOK0393	Cluster 3	3
PHOM0019	Cluster 3	3
PHOM0034	Cluster 3	3
PHOM0050	Cluster 3	3
PHOM0072	Cluster 3	3
PHOM0075	Cluster 3	3
PHOM0122	Cluster 3	3
PHOM0149	Cluster 3	3
PHOM0164	Cluster 3	3
PHOM0233	Cluster 3	3
PHOM0268	Cluster 3	3
PHOM0344	Cluster 3	3
PHOM0345	Cluster 3	3
PHOM0359	Cluster 3	3
PHOM0372	Cluster 3	3
PHOM0384	Cluster 3	3
PHOM0404	Cluster 3	3
PHOM0413	Cluster 3	3
PHOM0415	Cluster 3	3
PHOM0416	Cluster 3	3
PHOM0428	Cluster 3	3
PHOM0461	Cluster 3	3
PHOM0490	Cluster 3	3
PHOM0499	Cluster 3	3
PHOM0515	Cluster 3	3
PHOM0520	Cluster 3	3
PHOM0521	Cluster 3	3
PHOM0524	Cluster 3	3
PHOM0532	Cluster 3	3
PHOM0534	Cluster 3	3
PHOM0540	Cluster 3	3
PHOM0547	Cluster 3	3
PHOM0570	Cluster 3	3
PHOM0575	Cluster 3	3
PHOM0618	Cluster 3	3
PHOM0653	Cluster 3	3
0000063630	Cluster 20	4
0000064936	Cluster 20	4
0999936095	Cluster 20	4
1000065530	Cluster 20	4
1000066092	Cluster 20	4
1999936719	Cluster 20	4
2999935499	Cluster 20	4
3000064154	Cluster 20	4
4000063956	Cluster 20	4
4000064330	Cluster 20	4
4000065308	Cluster 20	4
