Sample_ID	Original_Cluster	Rank
PHOM0321	Cluster 1	1
PHOM0329	Cluster 1	1
PHOM0342	Cluster 1	1
PHOM0344	Cluster 1	1
PHOM0355	Cluster 1	1
PHOM0359	Cluster 1	1
PHOM0360	Cluster 1	1
PHOM0370	Cluster 1	1
PHOM0375	Cluster 1	1
PHOM0384	Cluster 1	1
PHOM0391	Cluster 1	1
PHOM0410	Cluster 1	1
PHOM0415	Cluster 1	1
PHOM0416	Cluster 1	1
PHOM0421	Cluster 1	1
PHOM0428	Cluster 1	1
PHOM0429	Cluster 1	1
PHOM0438	Cluster 1	1
PHOM0451	Cluster 1	1
PHOM0453	Cluster 1	1
PHOM0466	Cluster 1	1
PHOM0479	Cluster 1	1
PHOM0496	Cluster 1	1
PHOM0501	Cluster 1	1
PHOM0508	Cluster 1	1
PHOM0520	Cluster 1	1
PHOM0521	Cluster 1	1
PHOM0524	Cluster 1	1
PHOM0530	Cluster 1	1
PHOM0532	Cluster 1	1
PHOM0538	Cluster 1	1
PHOM0542	Cluster 1	1
PHOM0547	Cluster 1	1
PHOM0557	Cluster 1	1
PHOM0570	Cluster 1	1
PHOM0575	Cluster 1	1
PHOM0586	Cluster 1	1
PHOM0594	Cluster 1	1
PHOM0619	Cluster 1	1
PHOM0624	Cluster 1	1
PHOM0632	Cluster 1	1
PHOM0643	Cluster 1	1
PHYM0001	Cluster 1	1
0999933459	Cluster 16	2
1000066224	Cluster 16	2
1999935315	Cluster 16	2
1999936453	Cluster 16	2
2999936417	Cluster 16	2
3000062952	Cluster 16	2
4000064320	Cluster 16	2
4000066002	Cluster 16	2
4999934013	Cluster 16	2
4999934613	Cluster 16	2
5000065150	Cluster 16	2
6000065434	Cluster 16	2
7999935513	Cluster 16	2
8000063370	Cluster 16	2
8000064706	Cluster 16	2
AYUM0031	Cluster 16	2
AYUM0118	Cluster 16	2
AYUM0400	Cluster 16	2
AYUM0450	Cluster 16	2
AYUM0455	Cluster 16	2
AYUM0640	Cluster 16	2
AYUM1014	Cluster 16	2
AYUM1018	Cluster 16	2
AYUM5020	Cluster 16	2
AYUM5131	Cluster 16	2
C_AC0103	Cluster 16	2
