GMM_Cluster_Merged	Samples	Share(%)
0	7721	4.246624315925529
1	4587	2.522894150647636
2	434	0.23870417732310317
3	51	0.028050490883590466
4	21552	11.853807441630229
5	47867	26.327310727937743
6	94997	52.24926436212633
7	3278	1.8029315513021476
8	716	0.39380689162060334
9	431	0.23705414844759784
10	181	0.09955174215548772
