GMM_Cluster_Merged	Samples	Share(%)
0	12254	6.749023776347024
1	300	0.16522826284512052
2	53	0.029190326435971293
3	167663	92.34222077800482
4	1115	0.614098376907698
5	182	0.10023847945937311
