GMM_Component	Merged_Cluster	Merged_Cluster_Color
6	0	#f77189
19	1	#e68332
5	2	#bb9832
0	3	#97a431
3	3	#97a431
4	3	#97a431
13	3	#97a431
16	3	#97a431
22	3	#97a431
15	4	#50b131
11	5	#34af84
20	5	#34af84
2	6	#36ada4
8	6	#36ada4
18	6	#36ada4
7	7	#38aabf
12	7	#38aabf
14	7	#38aabf
24	7	#38aabf
25	7	#38aabf
10	8	#3ba3ec
23	8	#3ba3ec
1	9	#a48cf4
9	9	#a48cf4
17	10	#e866f4
21	11	#f668c2
