GMM_Cluster_Merged	Samples	Share(%)
0	437	0.24035156228515486
1	717	0.3943525632916614
2	182	0.10010065065422925
3	82526	45.38959503236771
4	2886	1.5873103175170638
5	7147	3.9308755506910793
6	21047	11.575925243514083
7	54083	29.74584334798176
8	7754	4.264727720730185
9	4554	2.504716280655824
10	434	0.23870155156008513
11	50	0.027500178751161883
