GMM_Component	Merged_Cluster	Merged_Cluster_Color
4	0	#f77189
21	1	#dc8932
18	2	#ae9d31
5	3	#77ab31
14	3	#77ab31
19	3	#77ab31
1	4	#33b07a
3	4	#33b07a
7	4	#33b07a
8	4	#33b07a
12	4	#33b07a
15	4	#33b07a
23	4	#33b07a
16	5	#36ada4
25	5	#36ada4
2	6	#38a9c5
6	6	#38a9c5
10	6	#38a9c5
11	6	#38a9c5
17	6	#38a9c5
20	6	#38a9c5
24	6	#38a9c5
0	7	#6e9bf4
9	7	#6e9bf4
13	7	#6e9bf4
22	8	#cc7af4
26	9	#f565cc
