GMM_Cluster_Merged	Samples	Share(%)
0	708	0.39251559251559254
1	434	0.2406098406098406
2	181	0.10034650034650035
3	14073	7.802079002079002
4	63938	35.44726264726265
5	4763	2.640609840609841
6	84973	47.10907830907831
7	10846	6.013028413028413
8	407	0.22564102564102562
9	52	0.02882882882882883
